alert_id,transaction_id,transaction_time,customer_id,device_id,beneficiary_id,amount,channel,merchant_category,country,home_country,account_age_days,customer_segment,customer_vulnerability_score,usual_transaction_amount,usual_transaction_hour,p3_synthetic_risk_grade_context,p3_synthetic_pd_context,device_age_days,device_trust_score,device_country,emulator_flag,rooted_device_flag,beneficiary_age_hours,beneficiary_risk_score,beneficiary_country,mobile_channel_flag,card_channel_flag,api_channel_flag,transfer_merchant_flag,ip_risk_score,failed_otp_count,transactions_last_10m,transactions_last_1h,amount_last_24h,distance_from_last_transaction,night_transaction_flag,new_device_flag,new_beneficiary_flag,high_risk_merchant_flag,country_mismatch_flag,device_country_mismatch_flag,amount_spike_ratio,account_takeover_signal,mule_network_signal,social_engineering_signal,password_reset_recent_flag,multiple_accounts_device_flag,privileged_override_flag,blacklist_hit,duplicate_transaction_flag,transaction_fraud_label,fraud_type,simulation_day,synthetic_split,data_layer,data_status,source_type,claim_boundary,synthetic_model_score_raw,synthetic_model_score,synthetic_anomaly_score,model_feature_set,rule_hit_count,critical_rule_hits,high_rule_hits,medium_rule_hits,rule_hits,rule_reason_codes,rule_primary_action,highest_rule_priority,max_rule_severity,decision,primary_reason_code,all_reason_codes,expected_prevented_loss_proxy,customer_friction_risk,review_priority,sla_hours,override_eligibility,decision_engine_version,model_step_up_threshold,model_review_threshold,model_decline_threshold,anomaly_review_threshold,detection_confidence,potential_loss_proxy,alert_priority_score,assigned_team,arrival_day,processed_day,queue_age_hours,capacity_status,handling_minutes,sla_breach_flag,investigation_status,outcome,analyst_action,prevented_loss_proxy,recovery_proxy
AL000000448,T000020031,2026-01-26 10:29:00,C0044520,D0024000,B0043082,3.11,CARD,RETAIL,MY,MY,1327,Mass,13.49,15.64,10,C,0.22,507,93.65,PH,0,0,572,4.8,VN,0,1,0,0,3.34,2,10,13,9.93,56.04,0,1,0,0,0,1,0.1991,0,0,0,0,0,0,0,0,0,NONE,26,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.7386951233395448,observable_controls_v1,2,0,2,0,FRD-030;FRD-032,RC_HIGH_VELOCITY;RC_CARD_TESTING,HOLD,3,HIGH,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_HIGH_VELOCITY;RC_CARD_TESTING,0.2704,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7319,0.3862,0.3017,Fraud Operations,26,26,0.0,Within simulation window,13,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004911,T000219875,2026-01-16 11:36:00,C0008124,D0014349,B0053833,3.42,CARD,TRAVEL,VN,VN,316,Affluent,27.05,37.44,13,A,0.1,214,70.32,VN,0,0,1573,7.47,VN,0,1,0,0,3.33,0,7,12,10.16,16.95,0,0,0,0,0,0,0.0914,0,0,1,0,0,0,0,0,0,NONE,16,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8872181629367177,0.1211873365573758,0.7203724452806222,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.2901,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4884,0.4145,0.2298,Fraud Operations,16,16,0.0,Within simulation window,15,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000003830,T000171404,2026-01-06 11:11:00,C0023281,D0053380,B0031001,1.99,CARD,GROCERY,SG,SG,536,Mass,24.12,20.53,13,C,0.22,273,51.58,VN,0,0,1398,19.82,VN,0,1,0,0,2.93,1,6,17,10.45,23.56,0,0,0,0,1,1,0.0972,0,0,0,0,0,0,0,0,0,NONE,6,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.7212891783555127,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.173,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4892,0.2471,0.1355,Fraud Operations,6,6,0.0,Within simulation window,12,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000893,T000041466,2026-01-05 19:39:00,C0026333,D0024585,B0008747,2.32,CARD,UTILITIES,SG,SG,2161,Affluent,20.54,102.47,17,C,0.22,360,81.68,TH,0,0,1708,16.07,PH,0,1,0,0,7.15,5,4,7,4.9,103.88,0,1,0,0,0,1,0.0226,0,0,0,1,0,0,0,0,0,NONE,5,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8869033927423893,0.1208307034988716,0.7859997483477834,observable_controls_v1,1,0,0,1,FRD-040,RC_AUTH_FAILURE,STEP_UP,5,MEDIUM,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_AUTH_FAILURE,0.1962,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6181,0.2803,0.1911,Fraud Operations,5,5,0.0,Within simulation window,13,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000005509,T000248389,2026-01-19 09:15:00,C0037897,D0000183,B0032493,4.75,CARD,RETAIL,SG,SG,108,SME,10.27,21.3,12,A,0.1,556,34.43,ID,0,0,896,24.65,PH,0,1,0,0,20.23,2,8,12,5.77,215.8,0,1,0,0,0,1,0.2232,1,0,1,1,0,0,0,0,0,NONE,19,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8862145912650613,0.1200564421372306,0.9866324739210413,observable_controls_v1,1,0,1,0,FRD-030,RC_HIGH_VELOCITY,HOLD,3,HIGH,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_HIGH_VELOCITY,0.3992,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.648,0.5703,0.3885,Fraud Operations,19,19,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000005089,T000227928,2026-01-27 07:23:00,C0041138,D0011538,B0016237,44.3,CARD,GROCERY,VN,VN,274,Mass,28.1,64.1,9,B,0.16,461,52.92,VN,0,0,2790,33.24,ID,0,1,0,0,10.27,6,3,8,145.13,417.04,0,0,0,0,1,0,0.6911,1,0,1,1,0,0,0,0,0,NONE,27,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.2399868316199526,0.0044405642959382,0.9887175922874588,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,0.1377,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7394,0.443,0.5604,ATO & Account Security,27,27,0.0,Within simulation window,19,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000731,T000032940,2026-01-01 19:07:00,C0029012,D0045110,B0021522,2.52,CARD,ELECTRONICS,TH,TH,828,Affluent,15.16,133.38,16,A,0.1,490,74.04,TH,0,0,1868,2.18,VN,0,1,0,0,40.57,5,4,8,4.82,282.35,0,0,0,1,0,0,0.0189,1,0,0,0,0,0,0,0,0,NONE,1,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8857276168420088,0.1195140821278572,0.8954025536708269,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,0.2108,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7542,0.3012,0.3665,ATO & Account Security,1,1,0.0,Within simulation window,19,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000641,T000028824,2026-01-03 15:14:00,C0012815,D0007003,B0029104,447.26,MOBILE,RETAIL,TH,TH,583,Mass,10.23,145.0,15,B,0.16,540,66.24,VN,0,0,3930,9.01,TH,1,0,0,0,33.69,4,0,1,1041.68,38.69,0,0,0,0,0,1,3.0846,0,0,0,0,0,0,1,0,0,NONE,3,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.2672040045544733,0.0051737804577531,0.8730714153040499,observable_controls_v1,1,1,0,0,FRD-001,RC_BLACKLIST,BLOCK_ACCOUNT,1,CRITICAL,BLOCK_ACCOUNT,RC_BLACKLIST,RC_BLACKLIST,1.6198,Very High,CRITICAL,1,Dual approval only,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6023,4.4726,5.6628,ATO & Account Security,3,3,0.0,Within simulation window,27,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004798,T000214545,2026-01-23 14:23:00,C0027742,D0026358,B0078354,312.11,CARD,RETAIL,MY,MY,1850,Digital_Native,27.22,488.6,14,C,0.22,157,87.98,PH,0,0,171,16.05,VN,0,1,0,0,54.56,7,1,4,656.79,131.43,0,1,0,0,0,1,0.6388,1,0,0,0,0,0,0,0,0,NONE,23,validation,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.5875146974018389,0.0217762602939643,0.9473927032840614,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,4.7576,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7376,6.7966,8.5426,ATO & Account Security,23,23,0.0,Within simulation window,21,0,CLOSED,DUPLICATE,Reverse duplicate and close,0.0,0.0
AL000001754,T000078666,2026-01-14 15:49:00,C0011319,D0060053,B0041311,28.05,MOBILE,TRANSFER,MY,MY,409,Digital_Native,8.37,14.95,15,A,0.1,283,77.97,ID,0,0,2615,11.7,MY,1,0,0,1,7.07,5,0,2,96.14,19.68,0,0,1,0,0,1,1.8762,1,0,0,0,0,0,0,0,0,NONE,14,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.3427449920588113,0.0075609263145088,0.776928285109978,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,0.1485,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7084,0.2805,0.3105,ATO & Account Security,14,14,0.0,Within simulation window,21,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000843,T000039074,2026-01-18 19:19:00,C0046252,D0037822,B0029505,3.29,CARD,GAMING,TH,TH,1025,SME,25.81,42.69,17,C,0.22,258,61.15,PH,0,0,5247,36.95,SG,0,1,0,0,27.44,1,5,9,13.86,36.67,0,0,0,1,0,1,0.0771,0,0,0,0,0,0,0,0,0,NONE,18,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8895219587735709,0.1238525754977576,0.5788540237391925,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.2852,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4678,0.4075,0.2152,Fraud Operations,18,18,0.0,Within simulation window,12,0,CLOSED,CUSTOMER_AUTHORISED,Release and record customer confirmation,0.0,0.0
AL000005199,T000232952,2026-01-28 15:55:00,C0018650,D0005800,B0064939,4.57,CARD,GAMING,SG,SG,1258,Mass,10.68,36.9,15,A,0.1,507,84.22,SG,0,0,1728,29.32,TH,0,1,0,0,6.87,1,5,10,7.35,18.06,0,0,1,1,1,0,0.1237,1,0,0,0,0,0,0,0,0,NONE,28,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8863865673389295,0.1202489700158448,0.9376861177852208,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.3847,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5207,0.5495,0.3014,Fraud Operations,28,28,0.0,Within simulation window,12,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002817,T000125588,2026-01-20 10:05:00,C0030180,D0026065,B0057606,20.7,WEB,UTILITIES,SG,SG,1499,Mass,20.9,27.08,9,C,0.22,93,30.77,SG,0,0,5290,0.19,SG,0,0,0,0,74.03,6,6,12,56.43,129.51,0,1,0,0,0,0,0.7643,1,0,0,1,0,0,0,0,0,NONE,20,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8011643541706036,0.063256805700993,0.998496078419624,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE;RC_ANOMALY_HIGH,0.9166,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7556,1.3094,1.6392,ATO & Account Security,20,20,0.0,Within simulation window,21,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000001976,T000088647,2026-01-07 23:10:00,C0013635,D0020744,B0042496,63.32,API,TRANSFER,VN,VN,865,Mass,3.92,53.2,23,A,0.1,230,33.26,MY,0,0,3488,7.16,VN,0,0,1,1,31.13,3,1,3,226.17,163.8,1,0,0,0,0,1,1.1902,0,1,0,1,0,1,0,0,0,NONE,7,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.304960017034205,0.006296332927795,0.9994547535306206,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,0.2791,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5015,0.6332,0.3238,Fraud Operations,7,7,0.0,Within simulation window,15,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000001135,T000052426,2026-01-25 06:06:00,C0031258,D0064862,B0016565,3.7,CARD,RETAIL,VN,VN,1165,SME,15.6,45.21,11,B,0.16,572,50.68,ID,0,0,4526,26.59,MY,0,1,0,0,2.38,1,6,11,7.42,111.97,0,0,0,0,0,1,0.0818,0,1,0,0,0,0,0,0,0,NONE,25,validation,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8862145912650613,0.1200564421372306,0.5480745609567578,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.3109,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4622,0.4442,0.2213,Fraud Operations,25,25,0.0,Within simulation window,13,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000003344,T000149570,2026-01-26 08:01:00,C0025280,D0058559,B0073974,4.04,CARD,GAMING,MY,MY,1790,SME,14.39,35.0,7,C,0.22,1106,82.25,VN,0,0,5653,8.34,MY,0,1,0,0,7.26,2,6,7,7.13,40.35,0,0,1,1,1,1,0.1155,0,0,0,0,1,0,0,0,0,NONE,26,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8862145912650613,0.1200564421372306,0.9745591592419276,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.3395,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5262,0.485,0.2736,Fraud Operations,26,26,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000001088,T000050287,2026-01-09 08:31:00,C0045562,D0045997,B0016983,2.26,CARD,GROCERY,MY,MY,622,Mass,27.1,11.07,9,B,0.16,541,95.52,MY,0,0,759,31.74,PH,0,1,0,0,14.04,2,6,13,3.36,67.7,0,0,0,0,0,0,0.204,0,0,1,1,0,0,0,0,0,NONE,9,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.9153849380156625,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.1965,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5184,0.2807,0.1652,Fraud Operations,9,9,0.0,Within simulation window,11,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004433,T000198471,2026-01-29 19:52:00,C0036516,D0003768,B0021523,80.36,MOBILE,UTILITIES,VN,VN,1630,Digital_Native,27.77,56.9,17,F_G,0.44,753,87.05,VN,0,0,4016,14.19,PH,1,0,0,0,8.17,5,1,2,217.99,166.94,0,0,0,0,0,0,1.4123,1,0,0,0,0,0,0,0,0,NONE,29,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.5907466587264774,0.0220818650765929,0.6494065201890986,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,1.2421,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6929,1.7745,2.1005,ATO & Account Security,29,29,0.0,Within simulation window,18,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000273,T000012458,2026-01-19 19:48:00,C0040649,D0004016,B0051576,250.57,MOBILE,RETAIL,VN,VN,508,Mass,12.78,31.51,21,B,0.16,454,93.14,TH,0,0,2575,5.21,ID,1,0,0,0,30.36,6,2,4,1242.51,110.73,0,0,0,0,1,1,7.9522,1,0,0,0,0,0,0,0,0,NONE,19,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.5812129615445858,0.0211941899446225,0.8521543227259927,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,3.7174,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7231,5.3106,6.1284,ATO & Account Security,19,19,0.0,Within simulation window,17,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002266,T000101069,2026-01-21 23:57:00,C0021275,D0061654,B0068030,3.53,CARD,GROCERY,VN,VN,1041,SME,19.98,40.16,22,B,0.16,451,67.21,ID,0,0,1046,7.66,VN,0,1,0,0,15.83,1,6,10,6.13,122.51,1,0,0,0,0,1,0.088,0,0,0,0,0,0,0,0,0,NONE,21,validation,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8862145912650613,0.1200564421372306,0.3584246571238548,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.2967,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4338,0.4238,0.2022,Fraud Operations,21,21,0.0,Within simulation window,12,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002726,T000121783,2026-01-28 11:10:00,C0016262,D0009910,B0064461,2634.73,API,GAMING,ID,ID,237,Affluent,3.39,165.28,15,C,0.22,426,77.42,ID,0,0,1401,27.83,MY,0,0,1,0,7.74,1,0,1,11816.7,108.09,0,0,0,1,0,0,15.941,0,0,0,0,1,0,0,0,0,NONE,28,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.6458736208033868,0.028166072313452,0.9963869931754316,observable_controls_v1,1,0,1,0,FRD-031,RC_UNUSUAL_AMOUNT,MANUAL_REVIEW,4,HIGH,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH;RC_UNUSUAL_AMOUNT,51.947,Medium,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6265,74.21,70.9209,Fraud Operations,28,28,0.0,Within simulation window,20,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002292,T000102462,2026-01-26 14:37:00,C0042332,D0012161,B0016008,3.91,CARD,TRANSFER,ID,ID,455,SME,9.78,35.39,10,E,0.36,838,62.59,PH,0,0,3744,2.45,VN,0,1,0,1,2.47,1,9,11,11.84,49.16,0,1,0,0,0,1,0.1105,0,0,0,0,0,0,0,0,0,NONE,26,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8841180062881958,0.1177504443826907,0.8628974756885983,observable_controls_v1,1,0,1,0,FRD-030,RC_HIGH_VELOCITY,HOLD,3,HIGH,MANUAL_REVIEW,RC_COMBINED_RISK,RC_COMBINED_RISK;RC_HIGH_VELOCITY,0.3223,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6289,0.4604,0.3037,Fraud Operations,26,26,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004188,T000187674,2026-01-19 10:36:00,C0009176,D0051643,B0020453,29.08,MOBILE,CRYPTO,TH,TH,1068,Affluent,41.11,27.14,9,C,0.22,307,96.01,VN,0,0,1817,13.51,TH,1,0,0,0,52.33,2,7,11,163.62,239.18,0,1,0,1,0,1,1.0714,1,1,1,0,0,0,0,0,0,NONE,19,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.7165445042821318,0.0394408839108652,0.9956859620005152,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,0.8029,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5092,1.1469,0.7041,Fraud Operations,19,19,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002830,T000126071,2026-01-16 04:10:00,C0007988,D0062322,B0067915,1.5,CARD,GROCERY,PH,PH,1771,Affluent,4.13,30.62,11,B,0.16,621,67.05,VN,0,0,668,11.7,VN,0,1,0,0,4.01,0,7,10,2.81,31.42,1,0,0,0,0,1,0.0491,0,0,0,1,0,0,0,0,0,NONE,16,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8862145912650613,0.1200564421372306,0.8308118180674308,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.1261,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5046,0.1801,0.0928,Fraud Operations,16,16,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004667,T000208217,2026-01-08 19:51:00,C0019208,D0040170,B0089573,2.11,CARD,UTILITIES,VN,SG,366,SME,34.59,9.21,20,D,0.29,54,81.93,MY,0,0,2020,11.58,VN,0,1,0,0,7.69,0,8,17,4.71,574.79,0,1,1,0,1,1,0.2294,1,0,1,0,0,0,0,0,0,NONE,8,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.9974894695530776,observable_controls_v1,1,0,1,0,FRD-030,RC_HIGH_VELOCITY,HOLD,3,HIGH,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_HIGH_VELOCITY;RC_ANOMALY_HIGH,0.1834,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6507,0.262,0.2,Fraud Operations,8,8,0.0,Within simulation window,12,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000077,T000003955,2026-01-03 12:25:00,C0044276,D0045385,B0077832,2.06,CARD,CRYPTO,VN,VN,794,Mass,15.56,12.5,15,B,0.16,338,93.43,VN,0,0,929,35.76,VN,0,1,0,0,4.55,0,6,13,4.08,123.46,0,0,0,1,0,0,0.1648,0,1,0,0,1,0,0,0,0,NONE,3,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.9039407538781404,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.1791,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5166,0.2558,0.1425,Fraud Operations,3,3,0.0,Within simulation window,15,0,CLOSED,DUPLICATE,Reverse duplicate and close,0.0,0.0
